trip_id;route_id;service_id
2069S22011C1;20T0002C1;2069S
2069S22015C1;20T0002C1;2069S
2069S22017C1;20T0002C1;2069S
2069S22021C1;20T0002C1;2069S
2069S22023C1;20T0002C1;2069S
2069S22025C1;20T0002C1;2069S
2069S22027C1;20T0002C1;2069S
2069S22031C1;20T0002C1;2069S
2069S22037C1;20T0002C1;2069S
2069S22041C1;20T0002C1;2069S
2069S22043C1;20T0002C1;2069S
2069S22047C1;20T0002C1;2069S
2069S22049C1;20T0002C1;2069S
2069S22051C1;20T0002C1;2069S
2069S22101C1;20T0002C1;2069S
2069S22105C1;20T0002C1;2069S
2069S22111C1;20T0002C1;2069S
2069S22139C1;20T0002C1;2069S
2069S33173C1;20T0002C1;2069S
2069S35033C1;20T0002C1;2069S
2070D22003C1;20T0002C1;2070D
2070D22007C1;20T0002C1;2070D
2070D22011C1;20T0002C1;2070D
2070D22015C1;20T0002C1;2070D
2070D22017C1;20T0002C1;2070D
2070D22021C1;20T0002C1;2070D
2070D22023C1;20T0002C1;2070D
2070D22025C1;20T0002C1;2070D
2070D22027C1;20T0002C1;2070D
2070D22031C1;20T0002C1;2070D
2070D22037C1;20T0002C1;2070D
2070D22041C1;20T0002C1;2070D
2070D22043C1;20T0002C1;2070D
2070D22047C1;20T0002C1;2070D
2070D22049C1;20T0002C1;2070D
2070D22051C1;20T0002C1;2070D
2070D22101C1;20T0002C1;2070D
2070D22105C1;20T0002C1;2070D
2070D22111C1;20T0002C1;2070D
2070D22139C1;20T0002C1;2070D
2070D33173C1;20T0002C1;2070D
2070D35033C1;20T0002C1;2070D
2071L22001C1;20T0002C1;2071L
2071L22003C1;20T0002C1;2071L
2071L22005C1;20T0002C1;2071L
2071L22007C1;20T0002C1;2071L
2071L22009C1;20T0002C1;2071L
2071L22011C1;20T0002C1;2071L
2071L22013C1;20T0002C1;2071L
2071L22015C1;20T0002C1;2071L
2071L22017C1;20T0002C1;2071L
2071L22019C1;20T0002C1;2071L
2071L22021C1;20T0002C1;2071L
2071L22023C1;20T0002C1;2071L
2071L22025C1;20T0002C1;2071L
2071L22027C1;20T0002C1;2071L
2071L22029C1;20T0002C1;2071L
2071L22031C1;20T0002C1;2071L
2071L22037C1;20T0002C1;2071L
2071L22039C1;20T0002C1;2071L
2071L22041C1;20T0002C1;2071L
2071L22043C1;20T0002C1;2071L
2071L22045C1;20T0002C1;2071L
2071L22047C1;20T0002C1;2071L
2071L22049C1;20T0002C1;2071L
2071L22051C1;20T0002C1;2071L
2071L22101C1;20T0002C1;2071L
2071L22103C1;20T0002C1;2071L
2071L22105C1;20T0002C1;2071L
2071L22107C1;20T0002C1;2071L
2071L22109C1;20T0002C1;2071L
2071L22111C1;20T0002C1;2071L
2071L22113C1;20T0002C1;2071L
2071L22115C1;20T0002C1;2071L
2071L22117C1;20T0002C1;2071L
2071L22119C1;20T0002C1;2071L
2071L22123C1;20T0002C1;2071L
2071L22125C1;20T0002C1;2071L
2071L22127C1;20T0002C1;2071L
2071L22131C1;20T0002C1;2071L
2071L22135C1;20T0002C1;2071L
2071L22137C1;20T0002C1;2071L
2071L22139C1;20T0002C1;2071L
2071L33101C1;20T0002C1;2071L
2071L35033C1;20T0002C1;2071L
2071L35133C1;20T0002C1;2071L
2072M22001C1;20T0002C1;2072M
2072M22003C1;20T0002C1;2072M
2072M22005C1;20T0002C1;2072M
2072M22007C1;20T0002C1;2072M
2072M22009C1;20T0002C1;2072M
2072M22011C1;20T0002C1;2072M
2072M22013C1;20T0002C1;2072M
2072M22015C1;20T0002C1;2072M
2072M22017C1;20T0002C1;2072M
2072M22019C1;20T0002C1;2072M
2072M22021C1;20T0002C1;2072M
2072M22023C1;20T0002C1;2072M
2072M22025C1;20T0002C1;2072M
2072M22027C1;20T0002C1;2072M
2072M22029C1;20T0002C1;2072M
2072M22031C1;20T0002C1;2072M
2072M22037C1;20T0002C1;2072M
2072M22039C1;20T0002C1;2072M
2072M22041C1;20T0002C1;2072M
2072M22043C1;20T0002C1;2072M
2072M22045C1;20T0002C1;2072M
2072M22047C1;20T0002C1;2072M
2072M22049C1;20T0002C1;2072M
2072M22051C1;20T0002C1;2072M
2072M22101C1;20T0002C1;2072M
2072M22103C1;20T0002C1;2072M
2072M22105C1;20T0002C1;2072M
2072M22107C1;20T0002C1;2072M
2072M22109C1;20T0002C1;2072M
2072M22111C1;20T0002C1;2072M
2072M22113C1;20T0002C1;2072M
2072M22115C1;20T0002C1;2072M
2072M22117C1;20T0002C1;2072M
2072M22119C1;20T0002C1;2072M
2072M22123C1;20T0002C1;2072M
2072M22125C1;20T0002C1;2072M
2072M22127C1;20T0002C1;2072M
2072M22131C1;20T0002C1;2072M
2072M22135C1;20T0002C1;2072M
2072M22137C1;20T0002C1;2072M
2072M22139C1;20T0002C1;2072M
2072M33101C1;20T0002C1;2072M
2072M35033C1;20T0002C1;2072M
2072M35133C1;20T0002C1;2072M
2073X22001C1;20T0002C1;2073X
